ruling_year,county,n,n_active
2017,Stevens County,11,4
2017,Whitman County,4,2
2018,Kootenai County,62,36
2018,Latah County,15,10
2018,Lincoln County,6,5
2018,Pend Oreille County,5,5
2018,Spokane County,114,66
2018,Stevens County,19,14
2018,Whitman County,7,5
2019,Kootenai County,49,29
2019,Latah County,14,10
2019,Lincoln County,5,5
2019,Pend Oreille County,5,4
2019,Spokane County,129,97
2019,Stevens County,9,5
2019,Whitman County,17,14
2020,Kootenai County,45,35
2020,Latah County,10,8
2020,Lincoln County,1,0
2020,Pend Oreille County,3,3
2020,Spokane County,97,71
2020,Stevens County,9,8
2020,Whitman County,14,9
2021,Kootenai County,45,29
2021,Latah County,12,11
2021,Lincoln County,3,3
2021,Pend Oreille County,4,4
2021,Spokane County,113,80
2021,Stevens County,11,6
2021,Whitman County,10,7
2022,Kootenai County,67,54
2022,Latah County,14,8
2022,Lincoln County,1,1
2022,Pend Oreille County,4,3
2022,Spokane County,134,111
2022,Stevens County,10,8
2022,Whitman County,11,7
2023,Kootenai County,64,59
2023,Latah County,20,20
2023,Lincoln County,5,5
2023,Pend Oreille County,6,6
2023,Spokane County,119,118
2023,Stevens County,14,14
2023,Whitman County,9,8
2024,Kootenai County,72,71
2024,Latah County,14,13
2024,Lincoln County,4,4
2024,Pend Oreille County,6,5
2024,Spokane County,175,172
2024,Stevens County,15,15
2024,Whitman County,24,24
2025,Kootenai County,83,83
2025,Latah County,30,30
2025,Lincoln County,8,8
2025,Pend Oreille County,6,6
2025,Spokane County,228,228
2025,Stevens County,28,28
2025,Whitman County,12,12
2026,Kootenai County,20,20
2026,Latah County,5,5
2026,Lincoln County,1,1
2026,Pend Oreille County,2,2
2026,Spokane County,77,77
2026,Stevens County,12,12
2026,Whitman County,6,6
