ein,name,city,zip,county,county_state,lat,lon,ruling_year,ntee,ntee_major,ntee_major_name,subsector,subsector_name,ntee_code_definition,subsection_code,foundation_code,revenue,income,assets,state
82-0641745,Parent Booster Usa,Moscow,83843,Latah County,"Latah County, ID",46.7374293638125,-116.972030823619,2005.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,16,0.0,0.0,0.0,ID
82-0749864,American Legion,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.7046705614578,-116.910310190952,1946.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,19,0,0.0,0.0,0.0,ID
82-0798838,Youth With A Mission North Idaho,Hayden,83835,Kootenai County,"Kootenai County, ID",47.8489602886491,-116.751356651912,2021.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,16,0.0,0.0,0.0,ID
82-0829156,Cda Comm Theater & Academy,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6775184834672,-116.766666,1967.0,A65,A,"Arts, Culture & Humanities",ART,Arts & Culture,Theater,3,16,219891.0,219891.0,237708.0,ID
82-1405527,Aglow International,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.729008541751,-116.930106,1973.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,0.0,0.0,0.0,ID
82-1438920,Heritage Christian Academy Of North Idaho,Spirit Lake,83869,Kootenai County,"Kootenai County, ID",47.979288,-116.84682,2018.0,B20,B,Education,EDU,Education,"Elementary, Secondary Education, K - 12",3,11,242117.0,242117.0,914422.0,ID
82-1514707,Cdaide,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2018.0,X99,X,Religion-Related,REL,Religion,Religion Related N.E.C.,3,16,176553.0,213919.0,136611.0,ID
82-1558798,Lewis-Clark Valley Healthcare Foundation,Coeur Dalene,83814,Kootenai County,"Kootenai County, ID",47.673357465982,-116.777056809048,2017.0,E80,E,Health Care,HEL,Health,"Health, General and Financing",3,4,,7709098.0,21745985.0,ID
82-1676883,Palouse Cancer Support And Prevention,Moscow,83843,Latah County,"Latah County, ID",46.7324320312284,-117.000634271421,2017.0,G30,G,Voluntary Health Associations,HEL,Health,Cancer,3,16,0.0,0.0,0.0,ID
82-2023505,Mj Guindon Marriage Ministry,Rathdrum,83858,Kootenai County,"Kootenai County, ID",47.7766074057363,-116.945224236309,2023.0,X20,X,Religion-Related,REL,Religion,Christianity,3,15,,,,ID
82-2498390,Jubilee School,Moscow,83843,Latah County,"Latah County, ID",46.7345826761208,-117.006451323619,2018.0,B20,B,Education,EDU,Education,"Elementary, Secondary Education, K - 12",3,11,757473.0,763741.0,21776.0,ID
82-2565858,Silver Valley Search & Rescue,Cataldo,83810,Kootenai County,"Kootenai County, ID",47.519046,-116.477028,2017.0,M23,M,Public Safety & Disaster Relief,HMS,Human Services,Search and Rescue Squads,3,16,0.0,0.0,0.0,ID
82-2777838,Age Gap Housing,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.6882772547753,-116.957669386606,2018.0,L20,L,Housing & Shelter,HMS,Human Services,"Housing Development, Construction, Management",3,15,0.0,0.0,0.0,ID
82-2820983,Pta Idaho Congress,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.7446184920655,-116.81414740161,1952.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,15,0.0,0.0,0.0,ID
82-2919259,1723 Ministries,Potlatch,83855,Latah County,"Latah County, ID",46.8817186990313,-116.871992057302,2018.0,X20,X,Religion-Related,REL,Religion,Christianity,3,10,,,,ID
82-2971763,Veterans Relief Project,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.7107435048761,-116.761293,2019.0,W30,W,Public & Societal Benefit,PSB,Public & Societal Benefit,"Military, Veterans' Organizations",3,16,0.0,0.0,0.0,ID
82-2987347,Schuster Outreach Ministries,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.7148785146283,-116.818229121704,2017.0,X20,X,Religion-Related,REL,Religion,Christianity,3,15,0.0,0.0,0.0,ID
82-2995314,Furry Farm Rescue,Rathdrum,83858,Kootenai County,"Kootenai County, ID",47.852667,-116.8071795,2018.0,D20,D,Animal-Related,ENV,Environment & Animals,Animal Protection and Welfare,3,15,88133.0,88133.0,57314.0,ID
82-3131573,Transformation Communities-Coeur D Alene,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6909607310578,-116.779239940158,1960.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,ID
82-3236783,Growing The Stem,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2018.0,B90,B,Education,EDU,Education,Educational Services and Schools - Other,3,16,177627.0,177627.0,188814.0,ID
82-3244923,One More Time,Hayden,83835,Kootenai County,"Kootenai County, ID",47.7488106983092,-116.786684859772,2017.0,E86,E,Health Care,HEL,Health,"Patient Services - Entertainment, Recreation",3,15,0.0,0.0,0.0,ID
82-3265081,Benedictine Project,Post Falls,83877,Kootenai County,"Kootenai County, ID",47.709648,-116.91585,2017.0,X12,X,Religion-Related,REL,Religion,Fund Raising and Fund Distribution,3,15,364793.0,364793.0,362444.0,ID
82-3329158,Kootenai Classic Livestock Show,Hayden,83835,Kootenai County,"Kootenai County, ID",47.752623,-116.786644022795,2018.0,K26,K,"Food, Agriculture & Nutrition",HMS,Human Services,Animal Husbandry,3,4,,204820.0,59221.0,ID
82-3619779,Sandpoint Believers,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.7348881265796,-116.803131057159,2023.0,X20,X,Religion-Related,REL,Religion,Christianity,3,10,0.0,0.0,0.0,ID
82-3711820,River City Youth Athletics,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.7329304349069,-116.970794237002,2019.0,N63,N,Recreation & Sports,HMS,Human Services,"Baseball, Softball",3,15,151115.0,166505.0,28119.0,ID
82-3724119,Inland Northwest Pickleball Club,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2018.0,N70,N,Recreation & Sports,HMS,Human Services,Amateur Sports Competitions,3,16,233808.0,233840.0,165890.0,ID
82-3810816,Palouse Alliance For Children And Families,Moscow,83843,Latah County,"Latah County, ID",46.746438766605,-116.981199463472,2020.0,P99,P,Human Services,HMS,Human Services,Human Services N.E.C.,3,16,0.0,0.0,0.0,ID
82-3885929,Love Vegas Foundation,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6956746133936,-116.809287163166,2018.0,X01,X,Religion-Related,REL,Religion,Alliance/Advocacy,3,16,0.0,0.0,0.0,ID
